expansion_band,ilvl_band,item_level,origin_expansion,origin_label,pvp_family,quality,quality_label,slot_key,role,peer_group,count,median_visible_budget,median_special_weapon_budget,median_total_budget_with_sockets,median_target_budget,median_percent_over_under,max_abs_median_percent_over_under,peer_outlier_count,sql_blocked_count
classic_leveling,000-009,5,0,vanilla,none,2,Uncommon,chest,healer,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=healer,4,1.0,0.0,1.0,2.0,-50.0,50.0,4,4
classic_leveling,000-009,5,1,tbc,none,2,Uncommon,chest,healer,origin=1;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=healer,2,1.0,0.0,1.0,1.0,0.0,0.0,0,2
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,chest,caster,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=caster,2,1.0,0.0,1.0,4.68,-78.632,78.632,2,2
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,chest,caster,origin=0;quality=2;slot=chest;armor=2;weapon=none;pvp=none;role=caster,1,1.0,0.0,1.0,1.0,0.0,0.0,0,1
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,chest,generic,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=generic,1,0.67,0.0,0.67,0.67,0.0,0.0,0,1
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,chest,generic,origin=0;quality=2;slot=chest;armor=2;weapon=none;pvp=none;role=generic,1,0.67,0.0,0.67,0.67,0.0,0.0,0,1
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,chest,healer,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=healer,1,1.0,0.0,1.0,2.0,-50.0,50.0,1,1
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,chest,physical,origin=0;quality=2;slot=chest;armor=2;weapon=none;pvp=none;role=physical,1,1.0,0.0,1.0,4.01,-75.062,75.062,1,1
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,chest,physical,origin=0;quality=2;slot=chest;armor=3;weapon=none;pvp=none;role=physical,1,1.0,0.0,1.0,4.34,-76.959,76.959,1,1
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,held_in_off_hand,generic,origin=0;quality=2;slot=held_in_off_hand;armor=0;weapon=none;pvp=none;role=generic,1,0.67,0.0,0.67,0.67,0.0,0.0,0,1
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,held_in_off_hand,healer,origin=0;quality=2;slot=held_in_off_hand;armor=0;weapon=none;pvp=none;role=healer,2,1.0,0.0,1.0,1.0,0.0,0.0,0,2
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,legs,generic,origin=0;quality=2;slot=legs;armor=3;weapon=none;pvp=none;role=generic,2,0.67,0.0,0.67,0.67,0.0,0.0,0,2
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,legs,healer,origin=0;quality=2;slot=legs;armor=1;weapon=none;pvp=none;role=healer,1,1.0,0.0,1.0,6.0,-83.333,83.333,1,1
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,legs,physical,origin=0;quality=2;slot=legs;armor=2;weapon=none;pvp=none;role=physical,1,1.0,0.0,1.0,6.0,-83.333,83.333,1,1
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,weapon_one_hand,generic,origin=0;quality=2;slot=weapon_one_hand;armor=none;weapon=weapon_one_hand:physical;pvp=none;role=generic,2,0.67,0.0,0.67,0.67,0.0,0.0,0,0
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,weapon_two_hand,generic,origin=0;quality=2;slot=weapon_two_hand;armor=none;weapon=weapon_two_hand:physical;pvp=none;role=generic,2,0.67,0.0,0.67,3.015,-77.778,77.778,2,2
classic_leveling,010-019,10,0,vanilla,none,2,Uncommon,weapon_two_hand,healer,origin=0;quality=2;slot=weapon_two_hand;armor=none;weapon=weapon_two_hand:physical;pvp=none;role=healer,2,2.0,0.0,2.0,6.0,-66.667,66.667,2,2
classic_leveling,010-019,10,1,tbc,none,2,Uncommon,chest,caster,origin=1;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=caster,1,1.67,0.0,1.67,1.67,0.0,0.0,0,1
classic_leveling,010-019,10,1,tbc,none,2,Uncommon,chest,physical,origin=1;quality=2;slot=chest;armor=2;weapon=none;pvp=none;role=physical,1,1.0,0.0,1.0,1.0,0.0,0.0,0,1
classic_leveling,010-019,10,1,tbc,none,2,Uncommon,chest,physical,origin=1;quality=2;slot=chest;armor=3;weapon=none;pvp=none;role=physical,1,1.0,0.0,1.0,1.0,0.0,0.0,0,1
classic_leveling,010-019,10,1,tbc,none,2,Uncommon,feet,generic,origin=1;quality=2;slot=feet;armor=1;weapon=none;pvp=none;role=generic,1,0.67,0.0,0.67,0.67,0.0,0.0,0,1
classic_leveling,010-019,10,1,tbc,none,2,Uncommon,legs,physical,origin=1;quality=2;slot=legs;armor=2;weapon=none;pvp=none;role=physical,1,1.0,0.0,1.0,1.0,0.0,0.0,0,1
classic_leveling,010-019,10,1,tbc,none,2,Uncommon,waist,caster,origin=1;quality=2;slot=waist;armor=1;weapon=none;pvp=none;role=caster,1,1.0,0.0,1.0,1.0,0.0,0.0,0,1
classic_leveling,010-019,10,1,tbc,none,2,Uncommon,weapon_one_hand,generic,origin=1;quality=2;slot=weapon_one_hand;armor=none;weapon=weapon_one_hand:physical;pvp=none;role=generic,2,0.67,0.0,0.67,0.67,0.0,0.0,0,2
classic_leveling,010-019,10,1,tbc,none,2,Uncommon,weapon_two_hand,physical,origin=1;quality=2;slot=weapon_two_hand;armor=none;weapon=weapon_two_hand:physical;pvp=none;role=physical,2,1.0,0.0,1.0,1.0,0.0,0.0,0,2
classic_leveling,010-019,10,1,tbc,none,2,Uncommon,wrist,caster,origin=1;quality=2;slot=wrist;armor=1;weapon=none;pvp=none;role=caster,1,1.0,0.0,1.0,1.0,0.0,0.0,0,1
classic_leveling,010-019,10,1,tbc,none,2,Uncommon,wrist,generic,origin=1;quality=2;slot=wrist;armor=1;weapon=none;pvp=none;role=generic,1,0.67,0.0,0.67,0.67,0.0,0.0,0,1
classic_leveling,010-019,10,1,tbc,none,2,Uncommon,wrist,physical,origin=1;quality=2;slot=wrist;armor=2;weapon=none;pvp=none;role=physical,1,1.0,0.0,1.0,1.0,0.0,0.0,0,1
classic_leveling,010-019,10,1,tbc,none,2,Uncommon,wrist,physical,origin=1;quality=2;slot=wrist;armor=3;weapon=none;pvp=none;role=physical,1,1.0,0.0,1.0,1.0,0.0,0.0,0,1
classic_leveling,010-019,11,0,vanilla,none,2,Uncommon,chest,caster,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=caster,1,2.0,0.0,2.0,4.68,-57.265,57.265,1,1
classic_leveling,010-019,11,0,vanilla,none,2,Uncommon,chest,healer,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=healer,1,2.0,0.0,2.0,3.17,-36.909,36.909,1,1
classic_leveling,010-019,11,0,vanilla,none,2,Uncommon,chest,healer,origin=0;quality=2;slot=chest;armor=2;weapon=none;pvp=none;role=healer,1,2.0,0.0,2.0,2.0,0.0,0.0,0,1
classic_leveling,010-019,11,0,vanilla,none,2,Uncommon,chest,physical,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=physical,1,2.0,0.0,2.0,2.0,0.0,0.0,0,1
classic_leveling,010-019,11,0,vanilla,none,2,Uncommon,chest,physical,origin=0;quality=2;slot=chest;armor=3;weapon=none;pvp=none;role=physical,1,2.0,0.0,2.0,4.34,-53.917,53.917,1,1
classic_leveling,010-019,11,0,vanilla,none,2,Uncommon,legs,generic,origin=0;quality=2;slot=legs;armor=2;weapon=none;pvp=none;role=generic,1,0.67,0.0,0.67,0.67,0.0,0.0,0,1
classic_leveling,010-019,11,0,vanilla,none,2,Uncommon,legs,physical,origin=0;quality=2;slot=legs;armor=1;weapon=none;pvp=none;role=physical,1,1.67,0.0,1.67,1.67,0.0,0.0,0,1
classic_leveling,010-019,11,0,vanilla,none,2,Uncommon,weapon_one_hand,generic,origin=0;quality=2;slot=weapon_one_hand;armor=none;weapon=weapon_one_hand:physical;pvp=none;role=generic,1,0.67,0.0,0.67,0.67,0.0,0.0,0,0
classic_leveling,010-019,11,0,vanilla,none,2,Uncommon,weapon_one_hand,healer,origin=0;quality=2;slot=weapon_one_hand;armor=none;weapon=weapon_one_hand:physical;pvp=none;role=healer,1,1.0,0.0,1.0,1.0,0.0,0.0,0,1
classic_leveling,010-019,11,0,vanilla,none,2,Uncommon,weapon_one_hand,physical,origin=0;quality=2;slot=weapon_one_hand;armor=none;weapon=weapon_one_hand:physical;pvp=none;role=physical,3,1.0,0.0,1.0,1.0,0.0,0.0,0,0
classic_leveling,010-019,11,0,vanilla,none,2,Uncommon,weapon_two_hand,physical,origin=0;quality=2;slot=weapon_two_hand;armor=none;weapon=weapon_two_hand:physical;pvp=none;role=physical,1,2.0,0.0,2.0,5.18,-61.39,61.39,1,1
classic_leveling,010-019,11,1,tbc,none,2,Uncommon,chest,caster,origin=1;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=caster,1,1.67,0.0,1.67,1.67,0.0,0.0,0,1
classic_leveling,010-019,11,1,tbc,none,2,Uncommon,chest,healer,origin=1;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=healer,1,1.67,0.0,1.67,1.67,0.0,0.0,0,1
classic_leveling,010-019,11,1,tbc,none,2,Uncommon,chest,physical,origin=1;quality=2;slot=chest;armor=2;weapon=none;pvp=none;role=physical,1,1.67,0.0,1.67,1.67,0.0,0.0,0,1
classic_leveling,010-019,11,1,tbc,none,2,Uncommon,chest,physical,origin=1;quality=2;slot=chest;armor=3;weapon=none;pvp=none;role=physical,1,1.67,0.0,1.67,1.67,0.0,0.0,0,1
classic_leveling,010-019,11,1,tbc,none,2,Uncommon,hands,physical,origin=1;quality=2;slot=hands;armor=3;weapon=none;pvp=none;role=physical,1,1.0,0.0,1.0,1.0,0.0,0.0,0,1
classic_leveling,010-019,11,1,tbc,none,2,Uncommon,legs,healer,origin=1;quality=2;slot=legs;armor=1;weapon=none;pvp=none;role=healer,1,1.0,0.0,1.0,1.0,0.0,0.0,0,1
classic_leveling,010-019,11,1,tbc,none,2,Uncommon,legs,physical,origin=1;quality=2;slot=legs;armor=2;weapon=none;pvp=none;role=physical,2,1.67,0.0,1.67,1.67,0.0,0.0,0,2
classic_leveling,010-019,11,1,tbc,none,2,Uncommon,legs,physical,origin=1;quality=2;slot=legs;armor=3;weapon=none;pvp=none;role=physical,1,1.67,0.0,1.67,1.67,0.0,0.0,0,1
classic_leveling,010-019,11,1,tbc,none,2,Uncommon,ranged,physical,origin=1;quality=2;slot=ranged;armor=none;weapon=ranged:bow_gun_crossbow;pvp=none;role=physical,1,1.0,0.0,1.0,1.0,0.0,0.0,0,1
classic_leveling,010-019,11,1,tbc,none,2,Uncommon,weapon_one_hand,generic,origin=1;quality=2;slot=weapon_one_hand;armor=none;weapon=weapon_one_hand:physical;pvp=none;role=generic,1,0.67,0.0,0.67,0.67,0.0,0.0,0,1
classic_leveling,010-019,11,1,tbc,none,2,Uncommon,weapon_one_hand,physical,origin=1;quality=2;slot=weapon_one_hand;armor=none;weapon=weapon_one_hand:physical;pvp=none;role=physical,3,1.0,0.0,1.0,1.335,-25.094,25.094,3,3
classic_leveling,010-019,11,1,tbc,none,2,Uncommon,weapon_two_hand,physical,origin=1;quality=2;slot=weapon_two_hand;armor=none;weapon=weapon_two_hand:physical;pvp=none;role=physical,2,1.835,0.0,1.835,1.835,0.0,0.0,0,2
classic_leveling,010-019,12,0,vanilla,none,2,Uncommon,chest,generic,origin=0;quality=2;slot=chest;armor=2;weapon=none;pvp=none;role=generic,2,1.34,0.0,1.34,1.34,0.0,0.0,0,2
classic_leveling,010-019,12,0,vanilla,none,2,Uncommon,chest,healer,origin=0;quality=2;slot=chest;armor=1;weapon=none;pvp=none;role=healer,2,2.0,0.0,2.0,3.34,-40.12,40.12,2,2
classic_leveling,010-019,12,0,vanilla,none,2,Uncommon,held_in_off_hand,caster,origin=0;quality=2;slot=held_in_off_hand;armor=0;weapon=none;pvp=none;role=caster,1,1.0,0.0,1.0,1.0,0.0,0.0,0,1
classic_leveling,010-019,12,0,vanilla,none,2,Uncommon,legs,healer,origin=0;quality=2;slot=legs;armor=1;weapon=none;pvp=none;role=healer,1,1.67,0.0,1.67,6.0,-72.167,72.167,1,1
classic_leveling,010-019,12,0,vanilla,none,2,Uncommon,legs,physical,origin=0;quality=2;slot=legs;armor=2;weapon=none;pvp=none;role=physical,1,2.0,0.0,2.0,6.0,-66.667,66.667,1,1
